id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
934,champagne,,,,,,,,,,,,,,,,,,,
935,avocado,milk,butter,french fries,cookies,,,,,,,,,,,,,,,
936,turkey,frozen vegetables,chicken,eggs,frozen smoothie,cauliflower,low fat yogurt,,,,,,,,,,,,,
937,burgers,shrimp,tomatoes,milk,energy bar,almonds,chicken,chocolate,french fries,body spray,,,,,,,,,,
938,burgers,milk,cake,cooking oil,french fries,escalope,zucchini,,,,,,,,,,,,,
939,tomatoes,spaghetti,chocolate,milk,olive oil,whole wheat rice,cake,frozen smoothie,protein bar,,,,,,,,,,,
940,fresh tuna,red wine,pepper,spaghetti,fromage blanc,salmon,pancakes,eggs,honey,green tea,,,,,,,,,,
941,milk,low fat yogurt,,,,,,,,,,,,,,,,,,
942,shrimp,parmesan cheese,soup,chocolate,brownies,,,,,,,,,,,,,,,
943,spaghetti,chicken,,,,,,,,,,,,,,,,,,
944,grated cheese,vegetables mix,nonfat milk,green tea,,,,,,,,,,,,,,,,
945,fresh tuna,parmesan cheese,cider,muffins,spinach,honey,oil,,,,,,,,,,,,,
946,cake,,,,,,,,,,,,,,,,,,,
947,shrimp,chocolate,mushroom cream sauce,candy bars,,,,,,,,,,,,,,,,
948,candy bars,,,,,,,,,,,,,,,,,,,
949,avocado,honey,,,,,,,,,,,,,,,,,,
950,shrimp,frozen vegetables,tomatoes,cottage cheese,,,,,,,,,,,,,,,,
951,french fries,,,,,,,,,,,,,,,,,,,
952,strawberries,,,,,,,,,,,,,,,,,,,
953,ground beef,almonds,french fries,escalope,,,,,,,,,,,,,,,,
954,grated cheese,spaghetti,,,,,,,,,,,,,,,,,,
955,turkey,mineral water,butter,frozen smoothie,,,,,,,,,,,,,,,,
956,frozen vegetables,spaghetti,french fries,light mayo,green tea,,,,,,,,,,,,,,,
957,burgers,ham,spaghetti,whole wheat rice,eggplant,chocolate,cookies,shallot,green tea,,,,,,,,,,,
958,grated cheese,frozen vegetables,spaghetti,avocado,milk,blueberries,light cream,rice,green tea,chocolate,french fries,frozen smoothie,cookies,hot dogs,,,,,,
959,burgers,shrimp,tomatoes,bacon,whole wheat rice,green tea,,,,,,,,,,,,,,
960,parmesan cheese,pancakes,,,,,,,,,,,,,,,,,,
961,parmesan cheese,cake,hot dogs,green tea,,,,,,,,,,,,,,,,
962,spaghetti,milk,fromage blanc,ketchup,chocolate,babies food,,,,,,,,,,,,,,
963,mint,,,,,,,,,,,,,,,,,,,
964,chocolate,mint,,,,,,,,,,,,,,,,,,
965,butter,french fries,salt,fresh bread,,,,,,,,,,,,,,,,
966,chocolate,french fries,strawberries,yogurt cake,light mayo,,,,,,,,,,,,,,,
967,eggs,eggplant,cookies,,,,,,,,,,,,,,,,,
968,yogurt cake,,,,,,,,,,,,,,,,,,,
969,herb & pepper,spaghetti,meatballs,milk,olive oil,chicken,honey,frozen smoothie,escalope,pancakes,,,,,,,,,,
970,frozen vegetables,rice,chocolate,,,,,,,,,,,,,,,,,
971,herb & pepper,ground beef,spaghetti,chocolate,milk,eggs,light cream,,,,,,,,,,,,,
972,eggs,champagne,,,,,,,,,,,,,,,,,,
973,whole wheat pasta,ground beef,olive oil,blueberries,escalope,,,,,,,,,,,,,,,
974,burgers,red wine,mineral water,eggs,oil,carrots,hand protein bar,tomato juice,,,,,,,,,,,,
975,chocolate,grated cheese,herb & pepper,mineral water,soup,olive oil,,,,,,,,,,,,,,
976,burgers,shrimp,mineral water,chicken,fromage blanc,salmon,eggs,cake,frozen smoothie,strawberries,,,,,,,,,,
977,green tea,,,,,,,,,,,,,,,,,,,
978,cookies,,,,,,,,,,,,,,,,,,,
979,french fries,cookies,,,,,,,,,,,,,,,,,,
980,milk,butter,eggs,,,,,,,,,,,,,,,,,
981,eggs,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,,
982,eggs,green tea,,,,,,,,,,,,,,,,,,
983,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
984,shrimp,frozen vegetables,parmesan cheese,mineral water,whole wheat rice,cake,,,,,,,,,,,,,,
985,whole wheat rice,pancakes,,,,,,,,,,,,,,,,,,
986,frozen vegetables,spaghetti,olive oil,butter,salmon,oil,cooking oil,frozen smoothie,cauliflower,,,,,,,,,,,
987,green tea,,,,,,,,,,,,,,,,,,,
988,fresh tuna,eggs,escalope,strawberries,,,,,,,,,,,,,,,,
989,spaghetti,soup,milk,carrots,chocolate,,,,,,,,,,,,,,,
990,burgers,mineral water,soup,meatballs,olive oil,,,,,,,,,,,,,,,
991,grated cheese,mineral water,cooking oil,french fries,cookies,low fat yogurt,,,,,,,,,,,,,,
992,shrimp,milk,olive oil,french fries,,,,,,,,,,,,,,,,
993,frozen vegetables,mineral water,pancakes,cake,tomato juice,,,,,,,,,,,,,,,
994,spaghetti,milk,chicken,,,,,,,,,,,,,,,,,
995,grated cheese,mineral water,chicken,french fries,cottage cheese,pancakes,,,,,,,,,,,,,,
996,ground beef,mineral water,milk,eggs,mint,,,,,,,,,,,,,,,
997,shrimp,body spray,green tea,,,,,,,,,,,,,,,,,
998,frozen smoothie,,,,,,,,,,,,,,,,,,,
999,herb & pepper,frozen vegetables,mineral water,muffins,cereals,,,,,,,,,,,,,,,
1000,turkey,tomatoes,spaghetti,milk,cider,eggs,honey,cake,green tea,french fries,brownies,tomato juice,,,,,,,,
1001,herb & pepper,red wine,spaghetti,eggs,whole wheat rice,chocolate,french fries,escalope,cookies,,,,,,,,,,,
1002,green tea,,,,,,,,,,,,,,,,,,,
1003,grated cheese,ground beef,spaghetti,chicken,extra dark chocolate,cereals,hot dogs,brownies,green tea,,,,,,,,,,,
1004,flax seed,chocolate,champagne,escalope,,,,,,,,,,,,,,,,
1005,chocolate,escalope,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,
1006,burgers,ham,chocolate,pancakes,cereals,,,,,,,,,,,,,,,
1007,escalope,mint,,,,,,,,,,,,,,,,,,
1008,chocolate,grated cheese,parmesan cheese,spaghetti,pancakes,eggs,cake,french fries,energy drink,,,,,,,,,,,
1009,pickles,spaghetti,mineral water,olive oil,cooking oil,cereals,french fries,hot dogs,,,,,,,,,,,,
1010,ground beef,mineral water,milk,spinach,,,,,,,,,,,,,,,,
1011,pancakes,melons,green tea,,,,,,,,,,,,,,,,,
1012,pancakes,energy drink,melons,green tea,,,,,,,,,,,,,,,,
1013,chocolate,french fries,,,,,,,,,,,,,,,,,,
1014,magazines,,,,,,,,,,,,,,,,,,,
1015,spaghetti,eggs,chocolate,frozen smoothie,cookies,green tea,,,,,,,,,,,,,,
1016,mineral water,,,,,,,,,,,,,,,,,,,
1017,burgers,ham,grated cheese,mineral water,chocolate,olive oil,salmon,green grapes,honey,whole wheat rice,cake,green tea,,,,,,,,
1018,burgers,bacon,eggs,cookies,green tea,,,,,,,,,,,,,,,
1019,frozen vegetables,almonds,pancakes,soda,,,,,,,,,,,,,,,,
1020,turkey,herb & pepper,frozen vegetables,tomatoes,chocolate,milk,clothes accessories,cottage cheese,low fat yogurt,,,,,,,,,,,
1021,spinach,mint,,,,,,,,,,,,,,,,,,
1022,turkey,burgers,yams,french fries,,,,,,,,,,,,,,,,
1023,turkey,spaghetti,soda,,,,,,,,,,,,,,,,,
1024,chocolate,frozen vegetables,tomatoes,ground beef,tomato sauce,spaghetti,avocado,milk,olive oil,energy bar,whole wheat rice,cereals,green tea,,,,,,,
1025,frozen vegetables,tomatoes,spaghetti,mineral water,fresh bread,white wine,zucchini,,,,,,,,,,,,,
1026,escalope,,,,,,,,,,,,,,,,,,,
1027,shrimp,parmesan cheese,eggs,cake,green tea,french fries,,,,,,,,,,,,,,
1028,chocolate,whole wheat pasta,bacon,salmon,hot dogs,low fat yogurt,,,,,,,,,,,,,,
1029,grated cheese,,,,,,,,,,,,,,,,,,,
1030,eggs,,,,,,,,,,,,,,,,,,,
1031,chocolate,,,,,,,,,,,,,,,,,,,
1032,burgers,frozen vegetables,mineral water,milk,fromage blanc,cake,cooking oil,pet food,green tea,sparkling water,mayonnaise,,,,,,,,,
1033,spinach,chocolate,french fries,,,,,,,,,,,,,,,,,
1034,frozen vegetables,avocado,whole weat flour,frozen smoothie,,,,,,,,,,,,,,,,
1035,escalope,,,,,,,,,,,,,,,,,,,
1036,escalope,,,,,,,,,,,,,,,,,,,
1037,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
1038,shrimp,frozen vegetables,mineral water,green tea,,,,,,,,,,,,,,,,
1039,milk,hand protein bar,,,,,,,,,,,,,,,,,,
1040,french fries,hand protein bar,,,,,,,,,,,,,,,,,,
1041,cookies,,,,,,,,,,,,,,,,,,,
1042,burgers,spaghetti,mineral water,,,,,,,,,,,,,,,,,
1043,grated cheese,ground beef,mineral water,soup,olive oil,eggs,honey,green beans,french fries,asparagus,,,,,,,,,,
1044,pet food,,,,,,,,,,,,,,,,,,,
1045,turkey,burgers,frozen vegetables,mineral water,milk,cake,chicken,chocolate,french fries,frozen smoothie,,,,,,,,,,
1046,oil,shampoo,low fat yogurt,,,,,,,,,,,,,,,,,
1047,chocolate,red wine,spaghetti,eggs,green tea,,,,,,,,,,,,,,,
1048,herb & pepper,pancakes,eggs,light cream,light mayo,,,,,,,,,,,,,,,
1049,avocado,butter,chocolate,french fries,cookies,strawberries,hand protein bar,green tea,,,,,,,,,,,,
1050,grated cheese,shrimp,spaghetti,pancakes,cooking oil,cookies,,,,,,,,,,,,,,
1051,soup,olive oil,light cream,extra dark chocolate,low fat yogurt,,,,,,,,,,,,,,,
1052,chocolate,mushroom cream sauce,,,,,,,,,,,,,,,,,,
1053,olive oil,,,,,,,,,,,,,,,,,,,
1054,olive oil,energy bar,frozen smoothie,pancakes,,,,,,,,,,,,,,,,
1055,pancakes,,,,,,,,,,,,,,,,,,,
1056,mineral water,salmon,yogurt cake,,,,,,,,,,,,,,,,,
1057,grated cheese,herb & pepper,mineral water,soup,eggs,cake,,,,,,,,,,,,,,
1058,eggs,brownies,,,,,,,,,,,,,,,,,,
1059,shrimp,spaghetti,mineral water,milk,french wine,strong cheese,eggs,light cream,cereals,,,,,,,,,,,
1060,shrimp,milk,whole wheat rice,rice,,,,,,,,,,,,,,,,
1061,french fries,pancakes,yogurt cake,low fat yogurt,green tea,,,,,,,,,,,,,,,
1062,chicken,eggs,,,,,,,,,,,,,,,,,,
1063,french fries,,,,,,,,,,,,,,,,,,,
1064,nonfat milk,,,,,,,,,,,,,,,,,,,
1065,burgers,ham,chocolate,ground beef,spaghetti,mineral water,bug spray,hot dogs,,,,,,,,,,,,
1066,herb & pepper,whole wheat pasta,spaghetti,honey,green tea,,,,,,,,,,,,,,,
1067,fresh tuna,mineral water,french wine,vegetables mix,eggs,rice,chili,extra dark chocolate,green beans,escalope,salad,,,,,,,,,
1068,tomato sauce,spaghetti,mineral water,chocolate,honey,cooking oil,champagne,tomato juice,green tea,,,,,,,,,,,
1069,parmesan cheese,ground beef,,,,,,,,,,,,,,,,,,
1070,frozen vegetables,tomatoes,mineral water,strawberries,pancakes,,,,,,,,,,,,,,,
1071,turkey,ham,frozen vegetables,whole wheat pasta,spaghetti,mineral water,olive oil,pancakes,cooking oil,ketchup,champagne,cookies,hot dogs,,,,,,,
1072,pepper,spaghetti,eggs,bug spray,pancakes,energy drink,green tea,,,,,,,,,,,,,
1073,shrimp,spaghetti,black tea,eggs,cake,cookies,low fat yogurt,,,,,,,,,,,,,
1074,red wine,cake,french fries,cookies,protein bar,hand protein bar,tomato juice,green tea,,,,,,,,,,,,
1075,burgers,grated cheese,,,,,,,,,,,,,,,,,,
1076,ground beef,spaghetti,milk,,,,,,,,,,,,,,,,,
1077,oil,salt,low fat yogurt,,,,,,,,,,,,,,,,,
1078,cookies,,,,,,,,,,,,,,,,,,,
1079,low fat yogurt,,,,,,,,,,,,,,,,,,,
1080,tomatoes,ground beef,spaghetti,mineral water,strawberries,cauliflower,,,,,,,,,,,,,,
1081,green tea,,,,,,,,,,,,,,,,,,,
1082,mushroom cream sauce,yogurt cake,,,,,,,,,,,,,,,,,,
1083,pepper,burger sauce,antioxydant juice,energy drink,,,,,,,,,,,,,,,,
1084,turkey,whole wheat pasta,spaghetti,mineral water,black tea,pancakes,eggs,whole wheat rice,cake,green tea,,,,,,,,,,
1085,ham,herb & pepper,frozen vegetables,tomatoes,whole wheat pasta,spaghetti,mineral water,honey,whole wheat rice,chicken,protein bar,,,,,,,,,
1086,mineral water,eggplant,french fries,escalope,tomato juice,toothpaste,,,,,,,,,,,,,,
1087,avocado,white wine,,,,,,,,,,,,,,,,,,
1088,red wine,extra dark chocolate,whole weat flour,,,,,,,,,,,,,,,,,
1089,strawberries,fresh bread,white wine,,,,,,,,,,,,,,,,,
1090,chocolate,frozen smoothie,escalope,,,,,,,,,,,,,,,,,
1091,energy bar,cake,cottage cheese,gluten free bar,,,,,,,,,,,,,,,,
1092,mineral water,milk,vegetables mix,chicken,green tea,chocolate,frozen smoothie,escalope,hot dogs,,,,,,,,,,,
1093,shrimp,tomatoes,parmesan cheese,spaghetti,avocado,meatballs,milk,pancakes,light cream,oil,chicken,ketchup,protein bar,salt,,,,,,
1094,frozen vegetables,mineral water,french wine,eggs,cereals,chocolate,salt,,,,,,,,,,,,,
1095,cereals,french fries,,,,,,,,,,,,,,,,,,
1096,mineral water,energy bar,cake,french fries,,,,,,,,,,,,,,,,
1097,french fries,frozen smoothie,,,,,,,,,,,,,,,,,,
1098,burgers,milk,hot dogs,,,,,,,,,,,,,,,,,
1099,ground beef,mineral water,chocolate,milk,olive oil,black tea,chicken,pancakes,whole wheat rice,oatmeal,champagne,frozen smoothie,fresh bread,mint,,,,,,
1100,whole wheat pasta,spaghetti,meatballs,milk,french fries,low fat yogurt,,,,,,,,,,,,,,
1101,spaghetti,,,,,,,,,,,,,,,,,,,
1102,burgers,tomatoes,ground beef,escalope,,,,,,,,,,,,,,,,
1103,energy bar,chocolate,champagne,,,,,,,,,,,,,,,,,
1104,chocolate,ground beef,blueberries,burger sauce,green tea,,,,,,,,,,,,,,,
1105,mineral water,milk,pancakes,,,,,,,,,,,,,,,,,
1106,burgers,french wine,eggs,green beans,clothes accessories,,,,,,,,,,,,,,,
1107,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
1108,ground beef,pepper,mineral water,chocolate,white wine,,,,,,,,,,,,,,,
1109,shrimp,spinach,,,,,,,,,,,,,,,,,,
1110,muffins,hot dogs,brownies,,,,,,,,,,,,,,,,,
1111,ground beef,frozen smoothie,cottage cheese,mint,,,,,,,,,,,,,,,,
1112,fresh tuna,frozen vegetables,parmesan cheese,pepper,spaghetti,milk,olive oil,black tea,almonds,salmon,honey,cake,gums,oil,cereals,chocolate,frozen smoothie,protein bar,mayonnaise,
1113,green tea,,,,,,,,,,,,,,,,,,,
1114,shrimp,vegetables mix,cookies,mushroom cream sauce,hot dogs,,,,,,,,,,,,,,,
1115,mint,,,,,,,,,,,,,,,,,,,
1116,spaghetti,pancakes,,,,,,,,,,,,,,,,,,
1117,mineral water,honey,cake,,,,,,,,,,,,,,,,,
1118,soda,oil,barbecue sauce,pancakes,,,,,,,,,,,,,,,,
1119,chocolate,spaghetti,mineral water,pancakes,cake,cookies,,,,,,,,,,,,,,
1120,chocolate,milk,clothes accessories,,,,,,,,,,,,,,,,,
1121,fresh tuna,avocado,vegetables mix,green grapes,honey,whole weat flour,french fries,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,oil,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,cereals,
1122,mineral water,meatballs,french fries,strawberries,green tea,,,,,,,,,,,,,,,
1123,shrimp,champagne,pasta,magazines,,,,,,,,,,,,,,,,
1124,cookies,,,,,,,,,,,,,,,,,,,
1125,turkey,yams,whole wheat rice,cooking oil,brownies,,,,,,,,,,,,,,,
1126,chocolate,frozen vegetables,light mayo,green tea,,,,,,,,,,,,,,,,
1127,turkey,escalope,,,,,,,,,,,,,,,,,,
1128,escalope,,,,,,,,,,,,,,,,,,,
1129,spaghetti,chicken,green tea,white wine,,,,,,,,,,,,,,,,
1130,spinach,,,,,,,,,,,,,,,,,,,
1131,chocolate,mineral water,,,,,,,,,,,,,,,,,,
1132,cookies,,,,,,,,,,,,,,,,,,,
1133,milk,pancakes,,,,,,,,,,,,,,,,,,
1134,vegetables mix,antioxydant juice,french fries,,,,,,,,,,,,,,,,,
1135,chocolate,brownies,pancakes,,,,,,,,,,,,,,,,,
1136,milk,cake,gums,french fries,green tea,,,,,,,,,,,,,,,
1137,shrimp,mineral water,black tea,cookies,,,,,,,,,,,,,,,,
1138,ham,milk,,,,,,,,,,,,,,,,,,
1139,ground beef,chocolate,salmon,hot dogs,,,,,,,,,,,,,,,,
1140,turkey,burgers,mineral water,chocolate,avocado,cake,frozen smoothie,,,,,,,,,,,,,
1141,milk,chicken,mint green tea,,,,,,,,,,,,,,,,,
1142,ground beef,spaghetti,honey,sandwich,,,,,,,,,,,,,,,,
1143,milk,eggs,cake,french fries,,,,,,,,,,,,,,,,
1144,oil,,,,,,,,,,,,,,,,,,,
1145,shrimp,tomatoes,parmesan cheese,whole wheat pasta,black tea,eggs,oil,green tea,,,,,,,,,,,,
1146,herb & pepper,ground beef,mineral water,meatballs,milk,energy bar,chicken,whole weat flour,french fries,pancakes,,,,,,,,,,
1147,avocado,champagne,,,,,,,,,,,,,,,,,,
1148,soup,oatmeal,green tea,,,,,,,,,,,,,,,,,
1149,chocolate,,,,,,,,,,,,,,,,,,,
1150,burgers,pancakes,green tea,french fries,,,,,,,,,,,,,,,,
1151,tomato sauce,,,,,,,,,,,,,,,,,,,
1152,clothes accessories,french fries,frozen smoothie,escalope,,,,,,,,,,,,,,,,
1153,yams,mineral water,cake,chocolate,french fries,champagne,strawberries,energy drink,tomato juice,mint,green tea,,,,,,,,,
1154,turkey,grated cheese,energy drink,,,,,,,,,,,,,,,,,
1155,pickles,herb & pepper,frozen vegetables,cider,eggs,brownies,pancakes,yogurt cake,green tea,,,,,,,,,,,
1156,oil,,,,,,,,,,,,,,,,,,,
1157,soup,,,,,,,,,,,,,,,,,,,
1158,tomato sauce,mint,,,,,,,,,,,,,,,,,,
1159,mineral water,chicken,,,,,,,,,,,,,,,,,,
1160,burgers,brownies,,,,,,,,,,,,,,,,,,
1161,french fries,,,,,,,,,,,,,,,,,,,
1162,mineral water,chocolate,french fries,cookies,,,,,,,,,,,,,,,,
1163,chicken,,,,,,,,,,,,,,,,,,,
1164,chicken,white wine,,,,,,,,,,,,,,,,,,
1165,spaghetti,champagne,cottage cheese,pancakes,light mayo,green tea,,,,,,,,,,,,,,
1166,olive oil,,,,,,,,,,,,,,,,,,,
1167,milk,,,,,,,,,,,,,,,,,,,
1168,grated cheese,herb & pepper,spaghetti,milk,green tea,,,,,,,,,,,,,,,
1169,mineral water,french fries,,,,,,,,,,,,,,,,,,
1170,cookies,,,,,,,,,,,,,,,,,,,
1171,ham,red wine,corn,green tea,,,,,,,,,,,,,,,,
1172,french fries,,,,,,,,,,,,,,,,,,,
1173,escalope,,,,,,,,,,,,,,,,,,,
1174,mineral water,milk,,,,,,,,,,,,,,,,,,
1175,chocolate,mineral water,,,,,,,,,,,,,,,,,,
1176,tomatoes,,,,,,,,,,,,,,,,,,,
1177,grated cheese,butter,eggs,cooking oil,,,,,,,,,,,,,,,,
1178,oil,,,,,,,,,,,,,,,,,,,
1179,mineral water,green tea,,,,,,,,,,,,,,,,,,
1180,tomatoes,ground beef,mineral water,eggs,cake,green tea,pancakes,,,,,,,,,,,,,
1181,ground beef,green tea,protein bar,,,,,,,,,,,,,,,,,
1182,fresh tuna,mineral water,soup,avocado,,,,,,,,,,,,,,,,
1183,muffins,french fries,escalope,gluten free bar,,,,,,,,,,,,,,,,
1184,burgers,mineral water,whole wheat rice,french fries,,,,,,,,,,,,,,,,
1185,protein bar,,,,,,,,,,,,,,,,,,,
1186,oil,salad,magazines,,,,,,,,,,,,,,,,,
1187,frozen vegetables,tomatoes,parmesan cheese,muffins,spinach,eggs,cake,french fries,champagne,hot dogs,cottage cheese,strawberries,energy drink,fresh bread,candy bars,,,,,
1188,candy bars,,,,,,,,,,,,,,,,,,,
1189,butter,green tea,,,,,,,,,,,,,,,,,,
1190,ham,escalope,green tea,,,,,,,,,,,,,,,,,
1191,dessert wine,frozen vegetables,tomatoes,parmesan cheese,mineral water,soup,olive oil,salmon,extra dark chocolate,,,,,,,,,,,
1192,herb & pepper,ground beef,spaghetti,french fries,escalope,tomato juice,,,,,,,,,,,,,,
1193,grated cheese,whole wheat rice,chocolate,frozen smoothie,,,,,,,,,,,,,,,,
1194,meatballs,green tea,,,,,,,,,,,,,,,,,,
1195,whole wheat rice,yogurt cake,green tea,,,,,,,,,,,,,,,,,
1196,tomato sauce,soup,blueberries,burger sauce,cookies,low fat yogurt,,,,,,,,,,,,,,
1197,low fat yogurt,,,,,,,,,,,,,,,,,,,
1198,cake,chicken,escalope,cottage cheese,green tea,,,,,,,,,,,,,,,
1199,energy bar,french fries,pancakes,,,,,,,,,,,,,,,,,
1200,butter,,,,,,,,,,,,,,,,,,,
1201,chicken,rice,oatmeal,whole weat flour,green tea,french fries,pancakes,,,,,,,,,,,,,
1202,eggs,pasta,mushroom cream sauce,,,,,,,,,,,,,,,,,
1203,eggs,,,,,,,,,,,,,,,,,,,
1204,eggs,chocolate,,,,,,,,,,,,,,,,,,
1205,burgers,mineral water,whole wheat rice,cake,,,,,,,,,,,,,,,,
1206,french wine,eggs,french fries,green tea,,,,,,,,,,,,,,,,
1207,cookies,,,,,,,,,,,,,,,,,,,
1208,cookies,,,,,,,,,,,,,,,,,,,
1209,shrimp,frozen vegetables,whole wheat pasta,milk,chicken,whole wheat rice,ham,,,,,,,,,,,,,
1210,milk,,,,,,,,,,,,,,,,,,,
1211,milk,energy bar,eggs,frozen smoothie,mint,,,,,,,,,,,,,,,
1212,hot dogs,,,,,,,,,,,,,,,,,,,
1213,frozen vegetables,salmon,,,,,,,,,,,,,,,,,,
1214,shrimp,spaghetti,mineral water,chocolate,salmon,eggs,whole wheat rice,frozen smoothie,asparagus,,,,,,,,,,,
1215,eggs,,,,,,,,,,,,,,,,,,,
1216,olive oil,hot dogs,,,,,,,,,,,,,,,,,,
1217,shrimp,mineral water,meatballs,olive oil,,,,,,,,,,,,,,,,
1218,meatballs,,,,,,,,,,,,,,,,,,,
1219,spaghetti,mineral water,chili,chocolate,escalope,,,,,,,,,,,,,,,
1220,cookies,,,,,,,,,,,,,,,,,,,
1221,french fries,frozen smoothie,,,,,,,,,,,,,,,,,,
1222,frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,
1223,green tea,french fries,escalope,shallot,,,,,,,,,,,,,,,,
1224,fresh tuna,spaghetti,mineral water,salmon,,,,,,,,,,,,,,,,
1225,olive oil,,,,,,,,,,,,,,,,,,,
1226,shrimp,frozen vegetables,mineral water,eggs,chocolate,cottage cheese,low fat yogurt,,,,,,,,,,,,,
1227,avocado,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
1228,mineral water,eggs,,,,,,,,,,,,,,,,,,
1229,cookies,,,,,,,,,,,,,,,,,,,
1230,eggs,french fries,,,,,,,,,,,,,,,,,,
1231,ham,spaghetti,eggs,frozen smoothie,magazines,,,,,,,,,,,,,,,
1232,burgers,eggs,,,,,,,,,,,,,,,,,,
1233,spaghetti,oil,cooking oil,white wine,,,,,,,,,,,,,,,,
1234,frozen vegetables,spaghetti,brownies,fresh bread,,,,,,,,,,,,,,,,
1235,shrimp,green tea,,,,,,,,,,,,,,,,,,
1236,frozen vegetables,ground beef,mineral water,milk,olive oil,pancakes,eggs,cooking oil,chocolate,,,,,,,,,,,
1237,corn,,,,,,,,,,,,,,,,,,,
1238,burgers,flax seed,eggs,green tea,,,,,,,,,,,,,,,,
1239,herb & pepper,spaghetti,cooking oil,toothpaste,,,,,,,,,,,,,,,,
1240,cookies,hot dogs,green tea,,,,,,,,,,,,,,,,,
1241,cookies,,,,,,,,,,,,,,,,,,,
1242,eggs,french fries,brownies,green tea,,,,,,,,,,,,,,,,
1243,mineral water,energy bar,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
1244,ground beef,whole wheat rice,mint,,,,,,,,,,,,,,,,,
1245,milk,,,,,,,,,,,,,,,,,,,
1246,pepper,green tea,,,,,,,,,,,,,,,,,,
1247,red wine,shrimp,frozen vegetables,eggs,rice,green tea,,,,,,,,,,,,,,
1248,fresh bread,white wine,,,,,,,,,,,,,,,,,,
1249,chocolate,spaghetti,mineral water,soup,butter,eggs,low fat yogurt,,,,,,,,,,,,,
1250,ham,mineral water,spinach,cooking oil,french fries,protein bar,,,,,,,,,,,,,,
1251,eggs,,,,,,,,,,,,,,,,,,,
1252,chocolate,milk,eggs,oatmeal,french fries,,,,,,,,,,,,,,,
1253,eggs,,,,,,,,,,,,,,,,,,,
1254,spaghetti,eggs,,,,,,,,,,,,,,,,,,
1255,turkey,mineral water,,,,,,,,,,,,,,,,,,
1256,low fat yogurt,,,,,,,,,,,,,,,,,,,
1257,pepper,chocolate,blueberries,oil,fresh bread,low fat yogurt,,,,,,,,,,,,,,
1258,mineral water,soup,muffins,pet food,eggplant,low fat yogurt,,,,,,,,,,,,,,
1259,milk,salmon,whole weat flour,chocolate,low fat yogurt,,,,,,,,,,,,,,,
1260,olive oil,zucchini,,,,,,,,,,,,,,,,,,
1261,salmon,whole wheat rice,,,,,,,,,,,,,,,,,,
1262,shrimp,mineral water,pancakes,clothes accessories,champagne,protein bar,,,,,,,,,,,,,,
1263,pepper,milk,oil,,,,,,,,,,,,,,,,,
1264,burgers,meatballs,eggs,french fries,,,,,,,,,,,,,,,,
1265,spaghetti,chocolate,cake,fresh bread,white wine,,,,,,,,,,,,,,,
1266,turkey,whole wheat rice,chicken,,,,,,,,,,,,,,,,,
1267,pancakes,eggs,champagne,,,,,,,,,,,,,,,,,
1268,eggs,eggplant,french fries,,,,,,,,,,,,,,,,,
1269,escalope,,,,,,,,,,,,,,,,,,,
1270,brownies,,,,,,,,,,,,,,,,,,,
1271,flax seed,green tea,fresh bread,,,,,,,,,,,,,,,,,
1272,cookies,,,,,,,,,,,,,,,,,,,
1273,ham,pepper,spaghetti,strawberries,white wine,,,,,,,,,,,,,,,
1274,mineral water,salmon,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,
1275,dessert wine,herb & pepper,tomatoes,yams,mineral water,cake,cooking oil,,,,,,,,,,,,,
1276,turkey,ground beef,eggs,burger sauce,chicken,barbecue sauce,cereals,fresh bread,,,,,,,,,,,,
1277,chocolate,mineral water,eggs,light cream,bug spray,burger sauce,chicken,,,,,,,,,,,,,
1278,turkey,fresh tuna,shrimp,spaghetti,,,,,,,,,,,,,,,,
1279,tomatoes,milk,almonds,,,,,,,,,,,,,,,,,
1280,ground beef,spaghetti,mineral water,eggs,chocolate,white wine,low fat yogurt,,,,,,,,,,,,,
1281,tomatoes,spaghetti,,,,,,,,,,,,,,,,,,
1282,grated cheese,red wine,spaghetti,mineral water,olive oil,vegetables mix,extra dark chocolate,green tea,,,,,,,,,,,,
1283,spaghetti,olive oil,flax seed,bug spray,,,,,,,,,,,,,,,,
1284,cake,cottage cheese,green tea,,,,,,,,,,,,,,,,,
1285,burgers,tomatoes,olive oil,protein bar,shampoo,,,,,,,,,,,,,,,
1286,fromage blanc,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,,
1287,fresh bread,,,,,,,,,,,,,,,,,,,
1288,ham,mineral water,olive oil,oil,carrots,cottage cheese,fresh bread,,,,,,,,,,,,,
1289,cake,,,,,,,,,,,,,,,,,,,
